"English","Italiano"
"Required for Magento App inside Zendesk to work.","Necessario per usare l’App Magento in Zendesk."
"API Enabled","Attivato API"
"Generate","Genera"
"Successfully generated a new API token","Generato correttamente un nuovo token API"
"API Details","Dettagli API"
"API Token","Token API"
"Create tickets from Contact Us form","Crea ticket dal modulo Contattarci"
"Decide which features you would like turned on in your Magento store.","Decidi quali funzionalità attivare nel negozio Magento."
"Code to display Feedback Tab","Codica per visualizzare scheda Feedback"
"Customize Feedback Tab","Personalizza scheda Feedback"
"Zendesk Order Number field ID","ID campo numero ordine Zendesk"
"Used to link order in Magento with tickets in Zendesk","Usato per collegare ordini in Magento e ticket in Zendesk"
"Show support tickets on customer view","Mostra ticket assistenza nella vista cliente"
"Show support tickets on admin dashboard","Mostra ticket assistenza nel pannello amministratore"
"Show support tickets on order view","Mostra ticket assistenza nella vista ordine"
"Features","Funzionalità"
"Views to show on dashboards","Viste da mostrare nei pannello"
"General settings that are required to connect Zendesk and Magento.","Impostazioni generali necessarie per collegare Zendesk e Magento."
"Zendesk Domain","Dominio Zendesk"
"Agent Email Address","Indirizzo e-mail agente"
"Remote Authentication Token","Token autenticazione remota"
"General","Generale"
"Agent Token","Token agente"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","Per generare un token, accedi a Zendesk, quindi seleziona Gestisci > Canali > API > Token"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Non hai ancora impostato Zendesk? Segui la nostra semplice guida all’impostazione per iniziare a usare Zendesk nell’assistenza ai clienti."
"Setup","Impostazione"
"Use Magento to manage user authentication.","Usa Magento per gestire l’autenticazione dei clienti."
"Single Sign-on","Single Sign-on"
"API","API"
"Chat","Chat"
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk consente ai vostri clienti di contattarvi nel modo che preferiscono. Utilizza i collegamenti seguenti per configurare i canali da utilizzare."
"Email","E-mail"
"Facebook","Facebook"
"Feedback Tab","Scheda Feedback"
"Support Channels","Canali assistenza"
"Twitter","Twitter"
"Voice","Voice"
"Web Portal","Portale Web"
"Dashboard","Pannello"
"Zendesk domain not set. Please add this to the settings page.","Dominio Zendesk non impostato. Aggiungilo alla pagina impostazioni."
"Launch Zendesk","Avvia Zendesk"
"No views selected. Please select one or more from the settings page.","Nessuna vista selezionata Selezionane almeno una nella pagina impostazioni."
"Zendesk SSO token not been set. Please add this to the settings page.","Token SSP Zendesk non impostato. Aggiungilo alla pagina impostazioni."
"Support Tickets","Ticket assistenza"
"View all tickets","Mostra tutti i ticket"
"View ticket in Zendesk","Mostra ticket in Zendesk"
"Assignee","Assegnatario"
"Create Ticket","Crea ticket"
"Description","Descrizione"
"Group","Gruppo"
"New Support Ticket","Nuovo ticket assistenza"
"No tickets found","Nessun ticket trovato"
"Order number","Numero ordine"
"Priority","Priorità"
"High","Alta"
"Low","Bassa"
"Normal","Normale"
"Urgent","Urgente"
"Requester Email","E-mail richiedente"
"Requester Name","Nome richiedente"
"Requester Website","Sito Web richiedente"
"Status","Stato"
"New","Nuovo"
"On-hold","In attesa"
"Open","Aperto"
"Pending","In sospeso"
"Solved","Risolto"
"Subject","Oggetto"
"Ticket #%s Created","Ticket #%s creato"
"Type","Tipo"
"Incident","Incidente"
"Problem","Problema"
"Question","Domanda"
"Task","Compito"
"Updated","Aggiornato"
