"English","한국어"
"Required for Magento App inside Zendesk to work.","Zendesk 내부 Magento 앱 작동을 위해 필요한 사항"
"API Enabled","API 사용"
"Generate","생성"
"Successfully generated a new API token","성공적으로 새로운 API 토큰 생성"
"API Details","API 세부 정보"
"API Token","API 토큰"
"Create tickets from Contact Us form","사용자 문의 양식에서 티켓 만들기"
"Decide which features you would like turned on in your Magento store.","Magento 스토어에서 설정하고자 하는 기능을 결정합니다."
"Code to display Feedback Tab","피드백 탭을 표시하는 코드"
"Customize Feedback Tab","피드백 탭 사용자 지정"
"Zendesk Order Number field ID","Zendesk 주문 번호 필드 ID"
"Used to link order in Magento with tickets in Zendesk","Magento의 주문과 Zendesk의 티켓 연결에 사용됩니다."
"Show support tickets on customer view","고객 보기에서 지원 티켓 표시"
"Show support tickets on admin dashboard","관리자 대시보드에서 지원 티켓 표시"
"Show support tickets on order view","주문 보기에서 지원 티켓 표시"
"Features","기능"
"Views to show on dashboards","대시보드에 표시할 보기"
"General settings that are required to connect Zendesk and Magento.","Zendesk와 Magento를 연결하는 데 필요한 일반 설정입니다."
"Zendesk Domain","Zendesk 도메인"
"Agent Email Address","상담원 이메일 주소"
"Remote Authentication Token","원격 인증 토큰"
"General","일반"
"Agent Token","상담원 토큰"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","토큰을 생성하려면 Zendesk에 로그인한 후 관리 > 채널 > API > 토큰을 선택합니다."
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","아직 Zendesk를 설정하지 않으셨습니까? 쉬운 설치 설명서를 따라 Zendesk를 설치하여 고객을 지원하십시오."
"Setup","설정"
"Use Magento to manage user authentication.","사용자 인증을 관리하려면 Magento를 사용하십시오."
"Single Sign-on","통합 인증"
"API","API"
"Chat","채팅"
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk를 통해 고객들이 원하는 방법을 사용하여 귀사에 연락할수 있습니다. 사용하고자하는 채널을 구성하려면 아래 링크를 사용하십시오."
"Email","이메일"
"Facebook","페이스북"
"Feedback Tab","피드백 탭"
"Support Channels","지원 채널"
"Twitter","트위터"
"Voice","음성"
"Web Portal","웹 포털"
"Dashboard","대시보드"
"Zendesk domain not set. Please add this to the settings page.","Zendesk 도메인이 설정되지 않았습니다. Zendesk 도메인을 설정 페이지에 추가하십시오."
"Launch Zendesk","Zendesk 시작"
"No views selected. Please select one or more from the settings page.","보기를 선택하지 않았습니다. 설정 페이지에서 하나 이상을 선택하십시오."
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSO 토큰이 설정되지 않았습니다. Zendesk SSO 토큰을 설정 페이지에 추가하십시오."
"Support Tickets","지원 티켓"
"View All Tickets","모든 티켓 보기"
"View ticket in Zendesk","Zendesk의 티켓 보기"
"Assignee","담당자"
"Create Ticket","티켓 만들기"
"Description","설명"
"Group","그룹"
"New Support Ticket","새 지원 티켓"
"No tickets found","티켓을 찾을 수 없습니다"
"Order Number","주문 번호"
"Priority","우선 순위"
"High","높음"
"Low","낮음"
"Normal","보통"
"Urgent","긴급"
"Requester Email","요청자 이메일"
"Requester Name","요청자 이름"
"Requester Website","요청자 웹사이트"
"Status","상태"
"New","신규"
"On-hold","대기"
"Open","등록"
"Pending","보류"
"Solved","해결"
"Subject","제목"
"Ticket #%s Created","티켓 #%s을(를) 만들었습니다"
"Type","유형"
"Incident","사건"
"Problem","문제"
"Question","질문"
"Task","작업"
"Updated","업데이트됨"
