"English","Norsk"
"API Details","API-detaljer"
"API Enabled","API-aktivert"
"API Token","API-token"
"API test connection failed","API testkobling mislyktes"
"API test connection successful","API testkobling lyktes"
"API","API"
"Agent Email Address","Kundekonsulentens e-postadresse"
"Agent Token","Kundekonsulenttoken"
"Are you sure you want to clear the entire Zendesk log?","Er du sikker på at du vil tømme hele Zendesk-loggen?"
"Assignee","Saksansvarlig"
"Chat","Chat"
"Click 'Save Config' and try again. If the issue persist, check if the entered Agent Email Address and Agent Token combination is correct.","Klikk «Lagre konfigurasjonen» og prøv på nytt. Hvis problemet vedvarer, må du se etter om kombinasjonen av e‑postadresse og token som er oppgitt for kundekonsulenten, er korrekt."
"Code to display Feedback Tab","Kode for å vise Feedback-fane"
"Connection to Zendesk API failed","Kan ikke koble til Zendesk API"
"Connection to Zendesk API successful","Koblet til Zendesk API"
"Create Ticket","Opprett sak"
"Create tickets from Contact Us form","Opprett saker fra «Ta kontakt med oss»-skjemaet"
"Customize Feedback Tab","Tilpass Feedback-fanen"
"Customize Web Widget","Tilpass Web Widget"
"Dashboard","Panel"
"Decide which features you would like turned on in your Magento store.","Bestem hvilke funksjoner du vil slå på i Magento-butikken din."
"Description","Beskrivelse"
"Display link to Zendesk Support in Magento footer","Vis kobling til Zendesk Support i bunntekst i Magento"
"Display link to Zendesk in Magento footer","Vis lenke til Zendesk i bunntekst i Magento"
"Email","E-post"
"Facebook","Facebook"
"Features","Funksjoner"
"Feedback Tab","Feedback-fane"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Filstørrelsen er for stor – viser bare de siste %s linjene. Klikk Last ned for å hente hele filen."
"General settings that are required to connect Zendesk Support and Magento.","Generelle innstillinger som er påkrevd for å koble Zendesk Support til Magento."
"General settings that are required to connect Zendesk and Magento.","Generelle innstillinger som er påkrevd for å koble Zendesk til Magento."
"General","Generelt"
"Generate","Generer"
"Group","Gruppe"
"Haven't set up Zendesk Support yet? Follow our easy setup guide to get started.","Har du ikke konfigurert Zendesk Support ennå? Følg den enkle installasjonsveiledningen for å komme i gang."
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Har du ikke installert Zendesk ennå? Følg den enkle installasjonsveiledningen hvis du vil komme i gang med Zendesk og tilby kundeservice til kundene dine."
"High","Høy"
"Incident","Hendelse"
"Include Web Widget","Ta med Web Widget"
"Launch Zendesk Support","Start Zendesk Support"
"Launch Zendesk","Sett i gang Zendesk"
"Low","Lav"
"New Support Ticket","Ny kundeservicesak"
"New","Ny"
"No tickets found","Finner ingen saker"
"No views selected. Please select one or more from the settings page.","Ingen visning er blitt valgt. Velg en eller flere fra innstillingssiden."
"Normal","Normal"
"On-hold","På vent"
"Open","Åpen"
"Order number","Bestillingsnummer"
"Pending","Venter"
"Priority","Prioritet"
"Problem","Problem"
"Question","Spørsmål"
"Remote Authentication Token","Eksternt godkjenningstoken"
