"English","Svenska"
"API Details","API-information"
"API Enabled","API aktiverat"
"API Token","API-token"
"API test connection failed","API-testanslutning misslyckades"
"API test connection successful","API-testanslutning lyckades"
"API","API"
"Agent Email Address","Agentens e-postadress"
"Agent Token","Agenttoken"
"Are you sure you want to clear the entire Zendesk log?","Vill du verkligen rensa hela Zendesk-loggen?"
"Assignee","Handläggare"
"Chat","Chatt"
"Click 'Save Config' and try again. If the issue persist, check if the entered Agent Email Address and Agent Token combination is correct.","Klicka på ”Spara konfiguration” och försök igen. Om problemet kvarstår bör du kontrollera om den angivna kombinationen av agentens e‑postadress och agenttoken är korrekt."
"Code to display Feedback Tab","Kod för att visa fliken Feedback"
"Connection to Zendesk API failed","Anslutning till Zendesk API misslyckades"
"Connection to Zendesk API successful","Anslutning till Zendesk API lyckades"
"Create Ticket","Skapa ärende"
"Create tickets from Contact Us form","Skapa ärenden från formuläret Kontakta oss"
"Customize Feedback Tab","Anpassa fliken Feedback"
"Customize Web Widget","Anpassa Web Widget"
"Dashboard","Panel"
"Decide which features you would like turned on in your Magento store.","Ange vilka funktioner som ska vara aktiva i din Magento-butik."
"Description","Beskrivning"
"Display link to Zendesk Support in Magento footer","Visa länk till Zendesk Support i Magento-sidfoten"
"Display link to Zendesk in Magento footer","Visa länk till Zendesk i Magento-sidfoten"
"Email","E-post"
"Facebook","Facebook"
"Features","Funktioner"
"Feedback Tab","Feedbackflik"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Filen är för stor. Endast de %s sista raderna visas. Klicka på Hämta om du behöver hela filen."
"General settings that are required to connect Zendesk Support and Magento.","Allmänna inställningar som krävs för att koppla ihop Zendesk Support och Magento."
"General settings that are required to connect Zendesk and Magento.","Allmänna inställningar som krävs för att koppla ihop Zendesk och Magento."
"General","Allmänt"
"Generate","Generera"
"Group","Grupp"
"Haven't set up Zendesk Support yet? Follow our easy setup guide to get started.","Har du inte konfigurerat Zendesk Support? Följ vår enkla starthandledning för att komma igång."
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Har du inte konfigurerat Zendesk? Följ vår lättlästa installationsguide så att du kan komma igång och använda Zendesk för din kundsupport."
"High","Hög"
"Incident","Händelse"
"Include Web Widget","Inkludera Web Widget"
"Launch Zendesk Support","Starta Zendesk Support"
"Launch Zendesk","Starta Zendesk"
"Low","Låg"
"New Support Ticket","Nytt supportärende"
"New","Nytt"
"No tickets found","Inga ärenden hittades"
"No views selected. Please select one or more from the settings page.","Inga valda vyer. Välj en eller flera på inställningssidan."
"Normal","Normal"
"On-hold","Parkerat"
"Open","Öppet"
"Order number","Ordernummer"
"Pending","Väntar"
"Priority","Prioritet"
"Problem","Problem"
"Question","Fråga"
"Remote Authentication Token","Token för fjärrautentisering"
"Remote Authentication Token","Token för fjärrautentisering"
"Requested","Begärd"
"Requester Email","Frågeställarens e-postadress"
"Requester Name","Frågeställarens namn"
"Requester Website","Frågeställarens webbplats"
"Requester","Frågeställare"
"Required for Magento App inside Zendesk to work.","Krävs för att Magento-appen i Zendesk ska fungera."
"Required for Magento app to work in Zendesk Support.","Krävs för att Magento-appen i ska fungera i Zendesk Support."
"Save Config","Spara konfigurationen"
"Settings","Inställningar"
"Setup guide","Installationsguide"
"Setup","Inställning"
"Show support tickets on admin dashboard","Visa supportärenden på administratörspanelen"
"Show support tickets on customer view","Visa supportärenden i kundvyn"
"Show support tickets on order view","Visa supportärenden i beställningsvyn"
"Single Sign-on - Admins and Agents","Single sign-on – administratörer och agenter"
"Single Sign-on - End-users","Single sign-on – slutanvändare"
"Single Sign-on Enabled","Single sign-on aktiverat"
"Single Sign-on Enabled","Single sign-on aktiverat"
"Solved","Löst"
"Status","Status"
"Subject","Ämne"
"Successfully generated a new API token","Ny API-token genererad"
"Support Channels","Supportkanaler"
"Task","Uppgift"
"Test Connection","Testa anslutning"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Zendesk-loggfilen har inte skapats. Kontrollera om loggning har aktiverats."
"Ticket #%s Created","Ärendet #%s  skapat"
"Tickets","Ärenden"
"To generate a token, sign in to Zendesk then select Manage > Channels > API > Token","Generera en token genom att logga in till Zendesk och sedan välja Hantera > Kanaler > API > Token"
"Twitter","Twitter"
"Type","Typ"
"Updated","Uppdaterat"
"Urgent","Brådskande"
"Use Magento to manage admin and agent authentication.","Använd Magento för att hantera autentisering av administratörer och agenter."
"Use Magento to manage end-user authentication.","Använd Magento för att hantera autentisering av slutanvändare."
"Use Magento to manage user authentication.","Använd Magento för att hantera autentisering av användare."
"Used to link order in Magento with tickets in Zendesk Support","Används för att länka beställningar i Magento med ärenden i Zendesk Support"
"Used to link order in Magento with tickets in Zendesk","Används för att länka beställningar i Magento med ärenden i Zendesk"
"View All Tickets","Visa alla ärenden"
"View ticket in Zendesk Support","Visa ärende i Zendesk Support"
"View ticket in Zendesk","Visa ärende i Zendesk"
"Views to show on dashboards","Vyer som ska visas på paneler"
"Voice","Voice"
"Web Portal","Webbportal"
"Zendesk Domain","Zendesk-domän"
