"English","Türkçe"
"API Details","API Detayları"
"API Enabled","API Etkinleştirildi"
"API Token","API Belirteci"
"API test connection failed","API test bağlantısı başarısız"
"API test connection successful","API test bağlantısı başarılı"
"API","API"
"Agent Email Address","Temsilci E-posta Adresi"
"Agent Token","Temsilci Belirteci"
"Are you sure you want to clear the entire Zendesk log?","Tüm Zendesk günlüğünü silmek istediğinize emin misiniz?"
"Assignee","Atanan"
"Chat","Sohbet"
"Click 'Save Config' and try again. If the issue persist, check if the entered Agent Email Address and Agent Token combination is correct.","“Yapılandırmayı Kaydet”e tıklayın ve yeniden deneyin. Sorun devam ederse, girilen Temsilci E‑posta Adresi ve Temsilci Belirteci kombinasyonunun doğru olup olmadığını kontrol edin."
"Code to display Feedback Tab","Geri Bildirim Sekmesini görüntüleme kodu"
"Connection to Zendesk API failed","Zendesk API’ye bağlantı yapılamadı"
"Connection to Zendesk API successful","Zendesk API bağlantısı başarılı"
"Create Ticket","Kayıt Oluştur"
"Create tickets from Contact Us form","“Bizimle İletişim Kurun” formundan kayıtlar oluşturun"
"Customize Feedback Tab","Geri Bildirim Sekmesini Özelleştir"
"Customize Web Widget","Web Widget'ı özelleştirin"
"Dashboard","Pano"
"Decide which features you would like turned on in your Magento store.","Magento mağazanızda hangi özelliklerin açık olmasını istediğinize karar verin."
"Description","Açıklama"
"Display link to Zendesk Support in Magento footer","Magento alt bilgi alanında Zendesk Support'a bağlantıyı gösterin"
"Display link to Zendesk in Magento footer","Magento altbilgi alanında Zendesk’e bağlantıyı gösterin"
"Email","E-posta"
"Facebook","Facebook"
"Features","Özellikler"
"Feedback Tab","Geri Bildirim Sekmesi"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Dosya boyutu çok büyük – sadece son %s satır gösteriliyor. Tüm dosyayı almak için İndir butonuna tıklayın."
"General settings that are required to connect Zendesk Support and Magento.","Zendesk Support ve Magento’yu birleştirmek için gerekli olan genel ayarlar."
"General settings that are required to connect Zendesk and Magento.","Zendesk ve Magento’yu birleştirmek için gerekli olan genel ayarlar."
"General","Genel"
"Generate","Oluştur"
"Group","Grup"
"Haven't set up Zendesk Support yet? Follow our easy setup guide to get started.","Zendesk Support'u henüz kurmadınız mı? Başlamak için kolay kurulum kılavuzumuzu kullanın."
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Henüz Zendesk’i kurmadınız mı? Müşterilerinize destek vermek amacıyla Zendesk’i kullanmaya başlamak için kolay kurulum kılavuzumuzu takip edin."
"High","Yüksek"
"Incident","Vaka"
"Include Web Widget","Web Widget ekleyin"
"Launch Zendesk Support","Zendesk Support'u başlat"
"Launch Zendesk","Zendesk’i başlatın"
"Low","Düşük"
"New Support Ticket","Yeni Destek Kaydı"
"New","Yeni"
"No tickets found","Kayıt bulunamadı"
"No views selected. Please select one or more from the settings page.","Herhangi bir görünüm seçili değil. Lütfen ayarlar sayfasından bir veya daha fazlasını seçin."
"Normal","Normal"
"On-hold","Askıda"
"Open","Açık"
"Order number","Sipariş numarası"
"Pending","Beklemede"
"Priority","Öncelik"
"Problem","Problem"
"Question","Soru"
"Remote Authentication Token","Uzaktan Kimlik Doğrulama Belirteci"
"Remote Authentication Token","Uzaktan Kimlik Doğrulama Belirteci"
"Requested","Talep eden"
"Requester Email","Talep Eden E-postası"
"Requester Name","Talep Edenin Adı"
"Requester Website","Talep Edenin Web Sitesi"
"Requester","Talep eden"
"Required for Magento App inside Zendesk to work.","Zendesk içindeki Magento Uygulamasının çalışması için gereklidir."
"Required for Magento app to work in Zendesk Support.","Zendesk Support içindeki Magento uygulamasının çalışması için gereklidir."
"Save Config","Yapılandırmayı Kaydet"
"Settings","Ayarlar"
"Setup guide","Kurulum kılavuzu"
"Setup","Kurulum"
"Show support tickets on admin dashboard","Destek kayıtlarını yönetici panosunda göster"
"Show support tickets on customer view","Destek kayıtlarını müşteri görünümünde göster"
"Show support tickets on order view","Destek kayıtlarını sipariş görünümünde göster"
"Single Sign-on - Admins and Agents","Ortak Oturum – Yöneticiler ve Temsilciler"
"Single Sign-on - End-users","Ortak Oturum - Son kullanıcılar"
"Single Sign-on Enabled","Ortak Oturum Etkin"
"Single Sign-on Enabled","Ortak Oturum Etkin"
"Solved","Çözüldü"
"Status","Durum"
"Subject","Konu"
"Successfully generated a new API token","Yeni API belirteci başarıyla oluşturuldu"
"Support Channels","Destek Kanalları"
"Task","Görev"
"Test Connection","Test Bağlantısı"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Zendesk günlük dosyası oluşturulmadı. Günlüğün etkin olup olmadığını kontrol edin."
"Ticket #%s Created","Kayıt #%s Oluşturuldu"
"Tickets","Kayıtlar"
"To generate a token, sign in to Zendesk then select Manage > Channels > API > Token","Bir belirteç oluşturmak için, Zendesk’te oturum açın ve ardından Yönet > Kanallar > API > Belirteç seçimi yapın."
"Twitter","Twitter"
"Type","Tür"
"Updated","Güncellenme:"
"Urgent","Acil"
"Use Magento to manage admin and agent authentication.","Yönetici ve temsilci doğrulamasını yönetmek için Magento’yu kullanın."
"Use Magento to manage end-user authentication.","Son kullanıcı kimlik doğrulama işlevini yönetmek için Magento’yu kullanın."
"Use Magento to manage user authentication.","Kullanıcı kimlik doğrulama işlevini yönetmek için Magento’yu kullanın."
"Used to link order in Magento with tickets in Zendesk Support","Zendesk Support'taki kayıtlarla Magento’da sipariş bağlantısı için kullanılır"
"Used to link order in Magento with tickets in Zendesk","Zendesk’teki kayıtlarla Magento’da sipariş bağlantısı için kullanılır"
"View All Tickets","Tüm Kayıtları Görüntüle"
"View ticket in Zendesk Support","Kaydı Zendesk Support'ta görüntüle"
"View ticket in Zendesk","Kaydı Zendesk'te görüntüle"
"Views to show on dashboards","Panolarda gösterilecek görünümler"
"Voice","Ses"
"Web Portal","Web Portalı"
"Zendesk Domain","Zendesk Etki Alanı Adı"
"Zendesk Log Viewer","Zendesk Günlük Görüntüleyici"
"Zendesk Order Number field ID","Zendesk Sipariş Numarası alan Kimliği"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSO belirteci ayarlı değil. Lütfen bunu ayarlar sayfasına ekleyin."
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk müşterilerinizin tercih ettikleri yöntemleri kullanarak sizinle iletişime geçmelerine imkan verir. Kullanmak istediğiniz kanalları yapılandırmak için aşağıdaki bağlantıları kullanın."
"Zendesk domain not set. Please add this to the settings page.","Zendesk etki alanı ayarlı değil. Lütfen bunu ayarlar sayfasına ekleyin."
